mohID,mohName,dtg,week,casesCount,spatialGranule,temporalGranule
161,Nawalbase(,20130908,36,0,161,20130908
87,Neluwa,20130908,36,0,87,20130908
257,Nikaweratiya,20130908,36,0,257,20130908
320,Nintavur,20130908,36,0,320,20130908
142,Nivithigala,20130908,36,2,142,20130908
63,Niyagama,20130908,36,0,63,20130908
121,Nochchiyag,20130908,36,0,121,20130908
164,Nugegoda,20130908,36,10,164,20130908
281,Nuwara-Eliya,20130908,36,0,281,20130908
82,Oddamavadi,20130908,36,0,82,20130908
109,oddusuddan,20130908,36,0,109,20130908
311,Okewela,20130908,36,0,311,20130908
303,Opanayaka,20130908,36,0,303,20130908
21,Padavi Sripura,20130908,36,0,21,20130908
20,Padaviya,20130908,36,0,20,20130908
53,Padiyatalwa,20130908,36,1,53,20130908
244,Padukka,20130908,36,1,244,20130908
297,Palagala,20130908,36,0,297,20130908
155,Palai,20130908,36,0,155,20130908
28,Palinda-Nuwara,20130908,36,0,28,20130908
309,Pallama,20130908,36,0,309,20130908
158,Pallepola,20130908,36,0,158,20130908
0,Panadura,20130908,36,20,0,20130908
126,Panduwasnuwara,20130908,36,3,126,20130908
88,Pannala,20130908,36,4,88,20130908
308,Panwila,20130908,36,0,308,20130908
237,Pasgoda,20130908,36,1,237,20130908
252,Passara,20130908,36,0,252,20130908
184,Pelmadulla,20130908,36,2,184,20130908
172,Piliyandala,20130908,36,2,172,20130908
201,Point-Pedro,20130908,36,2,201,20130908
209,Polgahawela,20130908,36,4,209,20130908
73,Polpithigama,20130908,36,3,73,20130908
319,Poojapitiya,20130908,36,2,319,20130908
317,Poonakari,20130908,36,0,317,20130908
97,Pothuvil,20130908,36,0,97,20130908
225,PS-Matara,20130908,36,0,225,20130908
111,Puthukudiyirippu,20130908,36,0,111,20130908
8,Puttalam,20130908,36,2,8,20130908
115,Ragala,20130908,36,0,115,20130908
19,Ragama,20130908,36,3,19,20130908
122,Rajanganay,20130908,36,2,122,20130908
210,Rambewa,20130908,36,0,210,20130908
208,Rambukkana,20130908,36,1,208,20130908
95,Rathnapura,20130908,36,6,95,20130908
26,Rattota,20130908,36,0,26,20130908
57,Rideemaliy,20130908,36,0,57,20130908
269,Ridigama,20130908,36,10,269,20130908
145,Ruwanwella,20130908,36,1,145,20130908
318,Sainthamaruthu,20130908,36,0,318,20130908
300,Sammanthurai,20130908,36,0,300,20130908
22,Sampathnuwara,20130908,36,0,22,20130908
151,Sandilipay,20130908,36,0,151,20130908
66,Seeduwa,20130908,36,0,66,20130908
179,Seruwila,20130908,36,0,179,20130908
291,Sevanagala,20130908,36,1,291,20130908
129,Siyambalanduwa,20130908,36,2,129,20130908
127,Sooriyawewa,20130908,36,0,127,20130908
113,Talatu-Oya,20130908,36,0,113,20130908
235,Tanamalwila,20130908,36,0,235,20130908
233,Tangalle,20130908,36,1,233,20130908
64,Tawalama,20130908,36,0,64,20130908
152,Tellippalai,20130908,36,0,152,20130908
60,Thalawa,20130908,36,1,60,20130908
195,Thamankadu,20130908,36,1,195,20130908
108,Thambuttegama,20130908,36,2,108,20130908
302,Thampalakamam,20130908,36,0,302,20130908
287,Thihagoda,20130908,36,0,287,20130908
17,Thirappane,20130908,36,0,17,20130908
138,Thirukovil,20130908,36,0,138,20130908
10,Thunukkai-,20130908,36,1,10,20130908
202,Tissamaharama,20130908,36,2,202,20130908
160,Trincomalee,20130908,36,0,160,20130908
245,Udubaddawa,20130908,36,0,245,20130908
93,Ududumbara,20130908,36,0,93,20130908
62,Udugama(Na,20130908,36,0,62,20130908
219,Udunuwara,20130908,36,1,219,20130908
94,Uduvil,20130908,36,0,94,20130908
52,Uhana,20130908,36,0,52,20130908
316,Ukuwela,20130908,36,0,316,20130908
214,Uppuveli,20130908,36,1,214,20130908
117,Uva-Provincial Council,20130908,36,3,117,20130908
83,Vakarai,20130908,36,1,83,20130908
81,Valaichcheni,20130908,36,0,81,20130908
150,Vaunathivu,20130908,36,0,150,20130908
273,Vavuniya,20130908,36,0,273,20130908
196,Vavuniya(N,20130908,36,0,196,20130908
176,Vavuniya(S,20130908,36,0,176,20130908
114,Velanai,20130908,36,2,114,20130908
135,Vellaveli,20130908,36,0,135,20130908
30,Walallavita,20130908,36,3,30,20130908
321,Walapone,20130908,36,0,321,20130908
191,Walasmulla,20130908,36,1,191,20130908
211,Warakapola,20130908,36,2,211,20130908
75,Wariyapola,20130908,36,0,75,20130908
24,Wattala,20130908,36,3,24,20130908
227,Wattegama(,20130908,36,1,227,20130908
305,Weeraketiya,20130908,36,0,305,20130908
74,Weerambugedara,20130908,36,0,74,20130908
198,Weligama,20130908,36,0,198,20130908
304,Weligepola,20130908,36,0,304,20130908
34,Welimada,20130908,36,1,34,20130908
166,Welipitiya,20130908,36,0,166,20130908
178,Wellawaya,20130908,36,0,178,20130908
193,Wennappuwa,20130908,36,3,193,20130908
86,Wilgamuwa,20130908,36,1,86,20130908
78,Yakkalamulla,20130908,36,1,78,20130908
27,Yatawatta,20130908,36,0,27,20130908
220,Yatinuwara,20130908,36,3,220,20130908
266,Yatiyantot,20130908,36,6,266,20130908
