"moh_id","moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
194,"Bamuna",8,1,3,2,3,2,0,3,2,3,0,0,0,1,0,0,2,0,2,1,1,2,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,51
2,"Bandaragama",0,2,4,2,2,0,5,1,4,0,6,4,5,3,6,1,3,1,4,1,2,2,1,2,2,2,2,3,2,3,4,3,1,3,3,5,3,3,2,2,2,4,0,1,1,2,3,1,3,0,5,5,131
168,"Bandarawela",1,0,0,1,0,0,0,0,0,2,0,1,0,1,3,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,25
134,"Batticaloa",0,4,6,4,10,5,2,8,12,5,4,5,2,9,1,3,5,1,4,6,1,1,0,1,5,2,2,1,2,2,0,0,2,1,1,0,1,2,0,1,1,1,0,0,0,0,0,1,1,1,0,0,126
232,"Beliatta",0,2,1,0,0,2,1,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,0,24
18,"Beruwala(North)",5,4,5,5,5,10,3,5,4,6,5,5,6,6,1,5,0,2,5,5,0,10,5,6,5,5,6,10,11,7,3,10,5,5,2,5,5,4,4,2,1,4,3,2,2,4,4,5,6,10,9,11,263
50,"Bibile",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,0,9
199,"Bingiriya",1,0,0,0,3,5,2,1,3,2,0,0,1,1,1,1,0,0,1,1,1,3,1,3,0,0,2,4,0,1,2,3,2,2,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,2,0,2,58
3,"Biyagama",3,3,6,4,0,10,4,7,5,5,2,1,3,2,0,9,3,7,6,9,9,3,3,3,5,8,7,3,6,11,10,2,7,2,1,2,4,0,2,2,1,10,3,2,3,0,3,4,11,2,7,8,233
241,"Bogawanthalawa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5
230,"Bope-(Podd",0,5,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,3,0,0,1,1,0,1,1,4,0,0,3,0,0,0,1,0,1,4,2,0,0,1,0,1,0,2,0,1,3,0,3,3,2,49
298,"Boralesgamuwa",6,4,4,6,7,18,11,15,6,11,4,6,5,5,2,3,3,5,4,2,4,2,3,3,3,5,4,6,4,5,12,11,14,6,3,12,6,3,3,2,4,1,1,4,1,4,6,5,9,5,12,1,291
265,"Bulathkohupitiya",1,3,0,4,1,1,2,3,1,2,0,1,0,0,1,0,1,1,2,0,0,2,1,1,1,0,1,3,2,0,4,1,1,1,3,0,3,0,0,0,0,1,2,0,0,0,1,1,0,5,1,0,59
314,"Bulathsinhala",0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,0,4,2,2,0,1,1,2,0,2,4,0,1,1,0,3,2,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,38
23,"Buttala",0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1,0,0,1,0,0,1,0,0,0,20
262,"Chankanai",2,0,0,0,0,1,0,0,1,1,0,0,1,3,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,2,5,0,28
37,"Chavakachcheri",6,9,2,3,4,1,0,2,1,2,0,0,8,0,0,9,3,5,4,0,1,0,1,0,2,2,0,0,1,0,2,3,2,1,0,3,0,1,1,0,0,1,0,0,2,2,0,2,4,3,2,13,108
177,"Cheddikulam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8
12,"Chenkaladi",0,0,0,2,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,1,2,2,2,0,1,4,0,0,0,3,3,1,1,1,1,0,2,0,1,0,0,1,42
153,"Chilaw",24,9,4,9,22,2,24,10,6,1,3,4,0,2,5,1,7,3,5,8,1,0,0,5,3,5,2,2,2,0,3,7,9,5,4,3,3,0,2,2,2,0,2,3,2,5,2,1,0,4,2,7,237
49,"Damana",1,0,0,2,0,0,0,4,0,3,1,0,3,0,1,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,3,0,0,0,2,2,0,0,1,36
180,"Dambulla",0,2,2,0,1,1,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,23
284,"Dankotuwa",5,3,6,3,4,3,1,2,1,2,1,1,0,1,2,1,0,3,1,0,0,1,1,2,2,3,2,1,0,1,0,3,4,0,2,2,3,0,0,1,2,0,1,1,2,3,2,3,3,4,3,1,93
133,"Dehiattakandiya",1,1,2,3,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,6,2,2,4,1,2,1,1,0,2,3,0,0,0,3,1,1,2,6,1,0,5,3,2,5,73
71,"Dehiowita",1,1,2,2,2,1,1,3,1,0,0,0,2,4,2,0,2,0,3,1,3,1,1,0,3,2,6,2,0,1,1,5,0,1,0,1,0,1,0,0,2,0,1,1,0,3,0,0,0,2,1,3,69
173,"Dehiwala",12,38,34,40,25,41,2,29,25,26,21,28,11,22,11,11,10,19,27,23,22,17,22,34,30,33,31,53,49,40,40,26,43,44,25,35,23,15,16,18,8,16,19,16,27,35,34,36,63,8,57,53,1443
267,"Deraniyagala",3,1,2,0,0,0,1,0,3,1,1,2,0,1,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,1,0,2,0,0,1,1,2,0,1,1,0,37
289,"Devinuwara",0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,2,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,1,24
248,"Dikwella",0,0,0,4,1,2,3,0,4,4,1,3,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37
147,"Dimbulagal",0,0,2,4,1,1,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,1,0,1,0,1,6,0,3,6,9,6,3,2,11,5,2,0,1,2,1,0,0,3,1,3,2,1,0,3,1,90
222,"Divitura/W",0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,19
140,"Dodamgoda",2,0,2,7,0,6,0,0,0,0,2,7,2,0,1,2,0,1,0,1,0,3,0,3,0,0,0,1,1,1,0,0,2,0,0,2,2,0,1,0,2,2,3,1,0,3,0,0,0,2,1,2,65
89,"Doluwa",0,0,0,5,0,1,1,1,1,2,3,1,0,0,1,0,2,0,1,0,0,0,2,1,2,0,2,2,1,1,4,2,2,5,1,2,1,0,1,1,0,0,0,0,0,2,3,1,1,2,1,1,60
216,"Dompe",9,6,11,2,4,6,3,6,0,4,5,2,1,5,1,7,7,7,5,6,9,3,2,3,5,7,4,3,4,6,4,2,9,4,2,5,3,4,3,1,3,2,2,2,4,0,3,4,4,2,2,0,208
119,"Duvilipitiya",24,3,1,2,2,7,4,3,0,8,5,1,4,5,0,5,1,1,4,1,3,4,7,0,3,1,5,6,6,2,4,1,1,9,4,4,6,5,6,0,1,3,5,2,7,0,0,0,2,5,1,2,186
229,"Eheliyagoda",2,1,3,1,1,1,4,1,4,2,3,3,0,1,0,5,2,0,5,1,2,4,0,1,3,1,2,4,2,6,7,7,1,3,1,2,2,0,1,0,1,0,4,3,0,0,3,0,0,3,0,5,108
157,"Elahera",1,0,0,5,0,0,0,0,0,5,1,2,0,0,1,4,0,1,2,0,0,0,0,1,0,0,1,2,3,0,2,3,1,0,0,5,0,0,6,0,0,1,0,0,0,1,0,0,4,3,0,6,61
143,"Elapatha",5,0,0,4,2,2,4,3,7,2,1,4,0,9,1,0,10,3,10,5,3,5,6,0,5,2,1,2,9,1,1,0,1,6,2,0,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,123
169,"Ella",0,1,2,4,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,20
221,"Elpitiya",0,0,0,0,1,3,0,0,4,1,0,0,4,2,1,0,5,4,0,1,6,2,3,8,9,3,1,1,1,4,2,1,2,0,0,3,1,0,2,2,0,0,0,0,0,0,1,1,0,7,5,0,91
264,"Embilipitiya",7,9,10,10,9,3,4,4,5,10,6,3,8,7,7,9,6,3,1,1,1,3,0,2,3,1,4,2,4,2,0,1,1,0,4,3,0,3,4,0,0,0,0,0,2,2,4,2,1,2,2,2,177
106,"Eravoor",3,1,3,5,1,0,1,2,2,1,2,3,0,2,1,1,0,0,0,1,2,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,2,2,2,1,0,0,0,0,0,0,0,1,1,0,47
283,"Galagedara",0,2,1,0,1,2,2,4,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25
91,"Galaha",0,0,0,0,1,1,0,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,19
268,"Galenbindunuwewa",2,0,0,0,0,2,0,3,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,2,1,0,0,0,1,1,2,0,0,26
167,"Galewela",5,2,0,0,5,1,0,0,5,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,3,2,0,1,1,0,0,0,1,1,3,0,2,0,43
107,"Galgamuwa",1,3,2,1,2,1,1,0,0,4,0,2,0,1,2,1,1,1,0,2,1,4,1,5,0,2,5,9,4,0,6,1,3,0,1,3,3,2,1,1,6,4,6,2,1,0,2,3,1,0,0,0,102
212,"Galigamuwa",4,5,3,1,2,8,2,1,2,4,1,0,0,0,2,3,2,6,5,1,0,0,8,3,1,2,2,2,4,0,1,4,3,1,1,2,3,0,1,1,1,2,0,2,0,2,2,0,3,1,1,2,107
15,"Galnewa",0,1,0,0,0,0,0,0,0,1,1,1,2,1,2,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,20
189,"Gampaha",6,5,3,8,5,8,5,4,1,4,4,9,2,8,5,5,7,8,10,0,9,4,4,6,5,9,8,9,9,10,11,2,5,7,14,6,8,2,5,6,14,4,5,1,13,5,6,6,5,6,10,8,329
165,"Gampola(Ud",0,7,1,5,2,3,0,0,1,4,0,3,0,2,2,1,1,4,3,2,0,7,2,6,6,2,3,4,2,2,2,0,0,1,2,1,2,2,3,1,0,2,1,0,0,1,3,0,1,2,0,2,101
72,"Ganewatta",5,1,2,5,4,3,0,0,0,1,0,0,0,0,0,2,0,3,3,0,0,0,0,0,2,1,1,2,1,1,2,0,0,0,1,2,2,0,1,0,0,0,1,1,0,0,1,2,1,2,0,1,54
100,"Gangawatakorale",3,4,1,1,4,2,5,5,2,2,2,0,1,3,2,2,1,5,0,1,1,0,3,4,1,1,5,2,1,0,3,1,2,0,1,1,1,0,1,0,0,0,3,0,6,3,2,0,0,2,0,1,91
