Kekirawa(P,8.047289,80.59433,
Medawachch,8.544568,80.493582,
Padaviya,8.834108,80.760747,
Thambuttegama,8.153921,80.293807,
Galnewa,8.03284,80.475191,
Nochchiyag,8.291376,80.226159,
Anuradhapu,8.337184,80.397186,
Mihintale,8.350105,80.508649,
Rajanganay,8.185024,80.17598,
Horowpatha,8.552017,80.829131,
Palagala,7.947578,80.519786,
Kebithigol,8.641063,80.669611,
Galenbindunuwewa,8.291669,80.718278,
Ipalogama,8.061995,80.534205,
Thalawa,8.231329,80.348462,
Thirappane,8.2198,80.522919,
Rambewa,8.44287,80.505929,
Dimbulagal,7.905599,81.125246,
Elahera,7.731744,80.789208,
Hingurakgoda,8.041149,80.952759,
Lankapura,8.027575,81.0316,
Medirigiriya,8.142278,80.969453,
Thamankadu,7.915235,81.001087,
Welikanda,7.948524,81.248461,
Badulla,6.988706,81.057901,
Bandarawela,6.829129,80.996786,
Girandurukotte,7.465288,81.018281,
Hali+AC0-Ela,6.956929,81.032968,
Haputale,6.766748,80.955935,
Mahiyangan,7.331856,80.997584,
Meegahakiv,7.018697,81.056156,
Passara,6.926489,81.145549,
Rideemaliy,7.218298,81.122296,
Uva+AC0-Provincial Council,6.987232,81.05674,
Welimada,6.89547,80.906355,
Ella,6.865437,81.04606,
Soranatota,,,
Haldummull,6.756114,80.879309,
Kandaketiy,7.170633,81.004922,
Lunugala,7.039564,81.204449,
Badalkumbura,6.895422,81.237674,
Bibile,7.159754,81.221527,
Monaragala,6.886378,81.346207,
Siyambalanduwa,6.905722,81.55499,
Tanamalwila,6.439058,81.132576,
Wellawaya,6.733443,81.104293,
Madulla,7.053774,80.926224,
Medagama,7.218181,80.712444,
Buttala,6.757091,81.240657,
Kataragama,6.412722,81.33128,
Sevanagala,6.359674,80.919644,
Balangoda,6.658827,80.706872,
Eheliyagoda,6.853101,80.257311,
Embilipitiya,6.3147,80.84341,
Godakawela,6.502306,80.652587,
Kalawana,6.529914,80.395868,
Kuruwita,6.789007,80.366535,
Nivithigala,6.600588,80.457097,
Pelmadulla,6.637923,80.520601,
Rathnapura,6.715071,80.374775,
Imbulpe,6.699825,80.753106,
Kolonna,6.404962,80.685198,
Opanayaka,6.623646,80.687576,
Ayagama,6.634875,80.311882,
Elapatha,6.659897,80.369625,
Kiriella,6.739809,80.273843,
Kahawaththa,6.579968,80.574052,
MC+AC0-Rathanapura,6.678571,80.403385,
Weligepola,6.576024,80.707541,
Aranayaka,7.149561,80.464892,
Dehiowita,6.964671,80.264139,
Deraniyagala,6.936565,80.340872,
Galigamuwa,7.236712,80.309061,
Kegalle,7.25373,80.34555,
Mawanella,7.25058,80.449802,
Rambukkana,7.331307,80.382843,
Ruwanwella,7.050764,80.259689,
Warakapola,7.228016,80.198189,
Yatiyantot,7.029438,80.295607,
Bulathkohupitiya,7.104981,80.337975,
Akkaraipattu,7.219392,81.849757,
Kalmunai,7.414383,81.830633,
Thirukovil,7.111284,81.850312,
Sammanthurai,7.357484,81.795105,
Nintavur,7.328117,81.844557,
Kalmunai,7.414383,81.830633,
Karaitvu,7.377078,81.841562,
Alaiyadivembu,7.209576,81.84237,
Addalaiche,7.248937,81.857951,
Pothuvil,6.875271,81.830633,
Sainthamaruthu,7.393049,81.836098,
Irakkamam,7.24425,81.745889,
Navithanve,7.421581,81.755877,
