,Station,Date ∇,Ave. T.(ºC),Max. T.(ºC),Min. T.(ºC),Prec.(mm),S.L.Press./Gheopot.,Wind dir,Wind sp.(Km/h),Cloud c.,Snow depth(cm),country
3841,RATNAPURA,01/07/2013,26.6,29.8,23.3,6.8,1009.1 Hpa,318º(NW),8,6/8,,SRI LANKA
3842,GALLE,01/07/2013,26.0,28.0,24.0,11.7,1009.2 Hpa,284º(W),20,6/8,,SRI LANKA
3843,HAMBANTOTA,01/07/2013,28.6,32.5,24.6,0.0,1007.5 Hpa,265º(W),14,4/8,,SRI LANKA
3844,KANKASANTURAI,02/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3845,JAFFNA,02/07/2013,29.6,31.9,27.2,0.0,1005.7 Hpa,-,-,5/8,,SRI LANKA
3846,MULLAITTIVU,02/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3847,MANNAR,02/07/2013,28.6,30.6,26.5,0.0,1006.3 Hpa,229º(SW),28,5/8,,SRI LANKA
3848,VAVUNIYA,02/07/2013,28.4,32.8,24.1,0.0,1006.6 Hpa,233º(SW),9,4/8,,SRI LANKA
3849,TRINCOMALEE,02/07/2013,30.1,34.7,25.5,0.0,-,226º(SW),13,6/8,,SRI LANKA
3850,ANURADHAPURA,02/07/2013,28.9,33.2,24.5,0.0,1006.9 Hpa,229º(SW),6,5/8,,SRI LANKA
3851,MAHA ILLUPPALLAMA,02/07/2013,28.1,31.7,24.6,Tr,1006.9 Hpa,225º(SW),12,7/8,,SRI LANKA
3852,PUTTALAM,02/07/2013,29.1,30.5,27.7,0.0,1006.9 Hpa,225º(SW),16,6/8,,SRI LANKA
3853,BATTICALOA,02/07/2013,30.8,35.5,26.0,0.0,1005.9 Hpa,180º(S),3,6/8,,SRI LANKA
3854,KURUNEGALA,02/07/2013,26.7,29.4,24.0,4.6,1007.4 Hpa,199º(S),7,6/8,,SRI LANKA
3855,KANDY,02/07/2013,24.0,26.7,21.3,18.8,1008.6 Hpa,250º(W),2,5/8,,SRI LANKA
3856,COLOMBO,02/07/2013,28.4,30.4,26.4,5.3,1008.1 Hpa,232º(SW),6,7/8,,SRI LANKA
3857,RATMALANA,02/07/2013,27.7,30.7,24.7,1.4,1008.3 Hpa,232º(SW),7,5/8,,SRI LANKA
3858,NUWARA ELIYA,02/07/2013,14.8,16.2,13.3,4.4,1477 m(850 Hpa),274º(W),16,7/8,,SRI LANKA
3859,POTTUVIL,02/07/2013,30.4,35.1,25.8,-,1006.0 Hpa,250º(W),3,6/8,,SRI LANKA
3860,BANDARAWELA,02/07/2013,20.7,24.2,17.2,0.6,1491 m(850 Hpa),263º(W),11,5/8,,SRI LANKA
3861,BADULLA,02/07/2013,24.1,29.2,19.0,0.0,-,90º(E),3,6/8,,SRI LANKA
3862,RATNAPURA,02/07/2013,26.6,29.2,24.0,28.5,1008.8 Hpa,301º(NW),10,6/8,,SRI LANKA
3863,GALLE,02/07/2013,26.3,28.7,23.9,0.0,1009.1 Hpa,278º(W),11,5/8,,SRI LANKA
3864,HAMBANTOTA,02/07/2013,27.6,30.1,25.1,0.9,1007.2 Hpa,265º(W),14,6/8,,SRI LANKA
3865,KANKASANTURAI,03/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3866,JAFFNA,03/07/2013,29.6,31.5,27.7,0.0,1005.7 Hpa,-,-,5/8,,SRI LANKA
3867,MULLAITTIVU,03/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3868,MANNAR,03/07/2013,28.8,30.4,27.1,0.0,1006.5 Hpa,229º(SW),30,6/8,,SRI LANKA
3869,VAVUNIYA,03/07/2013,29.2,32.6,25.8,0.0,1006.8 Hpa,243º(SW),10,5/8,,SRI LANKA
3870,TRINCOMALEE,03/07/2013,29.8,33.5,26.1,0.0,-,240º(SW),14,7/8,,SRI LANKA
3871,ANURADHAPURA,03/07/2013,28.9,32.4,25.3,Tr,1006.8 Hpa,229º(SW),8,6/8,,SRI LANKA
3872,MAHA ILLUPPALLAMA,03/07/2013,28.1,31.5,24.6,0.1,1007.0 Hpa,229º(SW),13,7/8,,SRI LANKA
3873,PUTTALAM,03/07/2013,29.4,31.4,27.3,0.0,1006.9 Hpa,215º(SW),16,7/8,,SRI LANKA
3874,BATTICALOA,03/07/2013,30.0,34.5,25.5,0.0,1006.0 Hpa,232º(SW),3,3/8,,SRI LANKA
3875,KURUNEGALA,03/07/2013,26.9,30.1,23.8,1.5,1007.4 Hpa,225º(SW),7,6/8,,SRI LANKA
3876,KANDY,03/07/2013,23.8,26.5,21.0,0.3,1008.3 Hpa,265º(W),14,6/8,,SRI LANKA
3877,COLOMBO,03/07/2013,27.5,30.3,24.7,0.0,1008.1 Hpa,229º(SW),8,6/8,,SRI LANKA
3878,RATMALANA,03/07/2013,28.8,31.1,26.4,Tr,1008.6 Hpa,227º(SW),9,4/8,,SRI LANKA
3879,NUWARA ELIYA,03/07/2013,14.1,16.6,11.6,0.3,1488 m(850 Hpa),270º(W),25,8/8,,SRI LANKA
3880,POTTUVIL,03/07/2013,30.4,35.7,25.2,-,1006.4 Hpa,230º(SW),6,4/8,,SRI LANKA
3881,BANDARAWELA,03/07/2013,21.0,24.8,17.2,0.0,1492 m(850 Hpa),263º(W),17,5/8,,SRI LANKA
3882,BADULLA,03/07/2013,24.1,29.4,18.8,0.0,-,216º(SW),4,5/8,,SRI LANKA
3883,RATNAPURA,03/07/2013,26.6,30.7,22.5,1.4,1008.9 Hpa,320º(NW),7,5/8,,SRI LANKA
3884,GALLE,03/07/2013,26.9,28.7,25.2,0.2,1009.4 Hpa,256º(W),11,5/8,,SRI LANKA
3885,HAMBANTOTA,03/07/2013,27.8,29.7,25.8,0.9,1007.5 Hpa,234º(SW),15,6/8,,SRI LANKA
3886,KANKASANTURAI,04/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3887,JAFFNA,04/07/2013,29.6,31.9,27.3,0.0,1005.4 Hpa,270º(W),11,5/8,,SRI LANKA
3888,MULLAITTIVU,04/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3889,MANNAR,04/07/2013,28.8,30.6,26.9,0.0,1005.3 Hpa,229º(SW),20,3/8,,SRI LANKA
3890,VAVUNIYA,04/07/2013,29.9,34.4,25.3,0.0,1005.7 Hpa,249º(W),9,4/8,,SRI LANKA
3891,TRINCOMALEE,04/07/2013,30.2,34.6,25.8,0.0,-,244º(SW),12,6/8,,SRI LANKA
3892,ANURADHAPURA,04/07/2013,29.4,33.7,25.0,0.0,1005.9 Hpa,234º(SW),6,5/8,,SRI LANKA
3893,MAHA ILLUPPALLAMA,04/07/2013,28.5,32.5,24.5,0.0,1006.1 Hpa,217º(SW),11,4/8,,SRI LANKA
3894,PUTTALAM,04/07/2013,29.4,31.4,27.3,0.0,1006.1 Hpa,226º(SW),15,6/8,,SRI LANKA
3895,BATTICALOA,04/07/2013,29.1,32.5,25.8,0.0,1005.1 Hpa,-,0,4/8,,SRI LANKA
3896,KURUNEGALA,04/07/2013,27.4,30.7,24.2,1.2,1006.3 Hpa,212º(SW),6,5/8,,SRI LANKA
3897,KANDY,04/07/2013,25.3,27.2,23.4,3.8,1007.1 Hpa,267º(W),6,6/8,,SRI LANKA
3898,COLOMBO,04/07/2013,28.8,30.5,27.0,0.2,1007.1 Hpa,234º(SW),8,5/8,,SRI LANKA
3899,RATMALANA,04/07/2013,29.2,31.4,27.0,0.0,1007.2 Hpa,237º(SW),10,3/8,,SRI LANKA
3900,NUWARA ELIYA,04/07/2013,13.4,16.8,10.0,12.7,1469 m(850 Hpa),270º(W),15,8/8,,SRI LANKA
3901,POTTUVIL,04/07/2013,29.9,34.3,25.4,-,1005.5 Hpa,90º(E),1,4/8,,SRI LANKA
3902,BANDARAWELA,04/07/2013,21.1,24.2,18.0,1.4,1486 m(850 Hpa),258º(W),11,3/8,,SRI LANKA
3903,BADULLA,04/07/2013,23.0,28.5,17.5,0.0,-,357º(N),3,5/8,,SRI LANKA
3904,RATNAPURA,04/07/2013,27.6,30.4,24.7,15.5,1008.0 Hpa,320º(NW),9,6/8,,SRI LANKA
3905,GALLE,04/07/2013,27.6,29.3,26.0,0.0,1007.9 Hpa,277º(W),16,5/8,,SRI LANKA
3906,HAMBANTOTA,04/07/2013,29.1,33.0,25.1,0.0,1006.0 Hpa,250º(W),12,5/8,,SRI LANKA
3907,KANKASANTURAI,05/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3908,JAFFNA,05/07/2013,29.7,31.8,27.6,0.0,1004.7 Hpa,-,-,6/8,,SRI LANKA
3909,MULLAITTIVU,05/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3910,MANNAR,05/07/2013,29.1,31.3,27.0,0.0,1005.0 Hpa,226º(SW),15,4/8,,SRI LANKA
3911,VAVUNIYA,05/07/2013,30.1,34.9,25.3,Tr,1005.0 Hpa,256º(W),7,4/8,,SRI LANKA
3912,TRINCOMALEE,05/07/2013,29.6,34.3,25.0,1.1,-,230º(SW),9,6/8,,SRI LANKA
3913,ANURADHAPURA,05/07/2013,29.9,34.1,25.8,0.0,1005.6 Hpa,232º(SW),6,5/8,,SRI LANKA
3914,MAHA ILLUPPALLAMA,05/07/2013,29.1,33.3,25.0,0.0,1005.5 Hpa,220º(SW),7,6/8,,SRI LANKA
3915,PUTTALAM,05/07/2013,29.5,32.0,27.0,0.0,1005.3 Hpa,229º(SW),11,6/8,,SRI LANKA
3916,BATTICALOA,05/07/2013,29.7,32.9,26.5,4.3,1004.7 Hpa,70º(E),3,5/8,,SRI LANKA
3917,KURUNEGALA,05/07/2013,27.6,30.8,24.4,2.0,1005.6 Hpa,250º(W),6,7/8,,SRI LANKA
3918,KANDY,05/07/2013,25.1,27.2,22.9,2.5,1006.7 Hpa,275º(W),2,7/8,,SRI LANKA
3919,COLOMBO,05/07/2013,28.8,30.4,27.2,Tr,1006.3 Hpa,234º(SW),9,7/8,,SRI LANKA
3920,RATMALANA,05/07/2013,29.4,31.3,27.5,0.1,1006.5 Hpa,250º(W),8,5/8,,SRI LANKA
3921,NUWARA ELIYA,05/07/2013,15.9,17.4,14.5,2.4,1470 m(850 Hpa),270º(W),4,7/8,,SRI LANKA
3922,POTTUVIL,05/07/2013,30.2,34.4,26.0,-,1004.9 Hpa,204º(SW),3,5/8,,SRI LANKA
3923,BANDARAWELA,05/07/2013,22.6,26.7,18.5,0.0,1479 m(850 Hpa),272º(W),12,6/8,,SRI LANKA
3924,BADULLA,05/07/2013,23.7,28.8,18.6,Tr,-,90º(E),3,6/8,,SRI LANKA
3925,RATNAPURA,05/07/2013,27.5,30.8,24.2,10.7,1007.1 Hpa,322º(NW),3,7/8,,SRI LANKA
3926,GALLE,05/07/2013,27.8,29.1,26.4,0.0,1007.4 Hpa,286º(W),16,5/8,,SRI LANKA
3927,HAMBANTOTA,05/07/2013,28.6,31.2,25.9,0.0,1005.3 Hpa,244º(SW),13,3/8,,SRI LANKA
3928,KANKASANTURAI,06/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3929,JAFFNA,06/07/2013,30.6,34.3,26.9,0.0,1005.1 Hpa,-,-,4/8,,SRI LANKA
3930,MULLAITTIVU,06/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3931,MANNAR,06/07/2013,29.5,32.5,26.5,0.0,1005.4 Hpa,234º(SW),7,5/8,,SRI LANKA
3932,VAVUNIYA,06/07/2013,29.4,34.4,24.4,24.5,1005.7 Hpa,235º(SW),4,6/8,,SRI LANKA
3933,TRINCOMALEE,06/07/2013,29.6,35.3,23.8,62.8,-,199º(S),10,7/8,,SRI LANKA
3934,ANURADHAPURA,06/07/2013,29.9,35.0,24.9,12.5,1006.2 Hpa,223º(SW),4,7/8,,SRI LANKA
3935,MAHA ILLUPPALLAMA,06/07/2013,29.5,34.2,24.8,28.8,1005.8 Hpa,208º(SW),8,5/8,,SRI LANKA
3936,PUTTALAM,06/07/2013,29.8,33.1,26.5,0.1,1005.8 Hpa,224º(SW),8,6/8,,SRI LANKA
3937,BATTICALOA,06/07/2013,29.4,32.7,26.0,42.7,1005.6 Hpa,112º(E),3,5/8,,SRI LANKA
3938,KURUNEGALA,06/07/2013,28.6,32.1,25.1,0.4,1005.6 Hpa,205º(SW),5,7/8,,SRI LANKA
3939,KANDY,06/07/2013,25.4,28.7,22.1,4.8,1007.0 Hpa,262º(W),1,7/8,,SRI LANKA
3940,COLOMBO,06/07/2013,28.9,30.3,27.4,3.9,1007.1 Hpa,239º(SW),8,7/8,,SRI LANKA
3941,RATMALANA,06/07/2013,29.3,31.3,27.3,1.4,1007.1 Hpa,270º(W),12,6/8,,SRI LANKA
3942,NUWARA ELIYA,06/07/2013,16.8,20.2,13.4,2.5,1474 m(850 Hpa),270º(W),2,8/8,,SRI LANKA
3943,POTTUVIL,06/07/2013,29.9,33.4,26.3,-,1005.7 Hpa,270º(W),3,6/8,,SRI LANKA
3944,BANDARAWELA,06/07/2013,21.9,26.0,17.7,20.8,1486 m(850 Hpa),135º(SE),2,6/8,,SRI LANKA
3945,BADULLA,06/07/2013,23.6,28.8,18.5,48.5,-,360º(N),2,6/8,,SRI LANKA
3946,RATNAPURA,06/07/2013,27.4,29.8,24.9,4.3,1007.7 Hpa,352º(N),2,8/8,,SRI LANKA
3947,GALLE,06/07/2013,27.8,28.8,26.8,3.1,1008.0 Hpa,288º(W),20,6/8,,SRI LANKA
3948,HAMBANTOTA,06/07/2013,29.4,32.9,25.9,0.0,1006.2 Hpa,250º(W),10,5/8,,SRI LANKA
3949,KANKASANTURAI,07/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3950,JAFFNA,07/07/2013,30.9,34.9,26.9,0.0,1005.8 Hpa,-,-,6/8,,SRI LANKA
3951,MULLAITTIVU,07/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3952,MANNAR,07/07/2013,28.6,31.4,25.8,0.0,1006.1 Hpa,229º(SW),9,5/8,,SRI LANKA
3953,VAVUNIYA,07/07/2013,27.9,32.2,23.5,0.0,1006.6 Hpa,238º(SW),6,7/8,,SRI LANKA
3954,TRINCOMALEE,07/07/2013,27.2,32.2,22.3,0.9,-,227º(SW),10,6/8,,SRI LANKA
3955,ANURADHAPURA,07/07/2013,28.2,33.0,23.4,0.0,1006.8 Hpa,226º(SW),5,6/8,,SRI LANKA
3956,MAHA ILLUPPALLAMA,07/07/2013,27.6,31.5,23.8,Tr,1006.9 Hpa,237º(SW),9,6/8,,SRI LANKA
3957,PUTTALAM,07/07/2013,28.9,31.2,26.7,0.0,1006.6 Hpa,227º(SW),11,7/8,,SRI LANKA
3958,BATTICALOA,07/07/2013,28.0,33.5,22.5,0.3,1005.8 Hpa,5º(N),2,3/8,,SRI LANKA
3959,KURUNEGALA,07/07/2013,27.2,30.1,24.4,0.9,1007.2 Hpa,208º(SW),6,7/8,,SRI LANKA
3960,KANDY,07/07/2013,24.1,26.0,22.2,14.9,1008.5 Hpa,258º(W),2,8/8,,SRI LANKA
3961,COLOMBO,07/07/2013,28.1,29.6,26.6,Tr,1008.1 Hpa,229º(SW),7,7/8,,SRI LANKA
3962,RATMALANA,07/07/2013,28.2,30.3,26.1,Tr,1008.0 Hpa,261º(W),12,6/8,,SRI LANKA
3963,NUWARA ELIYA,07/07/2013,15.6,18.6,12.6,9.8,1477 m(850 Hpa),270º(W),9,7/8,,SRI LANKA
3964,POTTUVIL,07/07/2013,29.6,33.8,25.4,-,1006.9 Hpa,315º(NW),4,6/8,,SRI LANKA
3965,BANDARAWELA,07/07/2013,19.2,21.4,17.0,0.0,1490 m(850 Hpa),242º(SW),7,5/8,,SRI LANKA
3966,BADULLA,07/07/2013,23.6,28.8,18.3,Tr,-,270º(W),2,6/8,,SRI LANKA
3967,RATNAPURA,07/07/2013,26.8,29.2,24.4,10.2,1008.6 Hpa,349º(N),9,6/8,,SRI LANKA
3968,GALLE,07/07/2013,27.3,28.5,26.1,0.4,1009.0 Hpa,290º(W),20,6/8,,SRI LANKA
3969,HAMBANTOTA,07/07/2013,29.4,32.9,25.9,0.0,1006.6 Hpa,247º(SW),18,4/8,,SRI LANKA
3970,KANKASANTURAI,08/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3971,JAFFNA,08/07/2013,30.2,32.7,27.7,0.0,1005.9 Hpa,-,-,6/8,,SRI LANKA
3972,MULLAITTIVU,08/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3973,MANNAR,08/07/2013,29.0,31.0,27.0,0.0,1006.3 Hpa,222º(SW),14,4/8,,SRI LANKA
3974,VAVUNIYA,08/07/2013,29.1,33.9,24.4,0.0,1006.6 Hpa,242º(SW),7,3/8,,SRI LANKA
3975,TRINCOMALEE,08/07/2013,29.6,34.2,25.0,0.0,-,241º(SW),11,5/8,,SRI LANKA
3976,ANURADHAPURA,08/07/2013,29.4,34.1,24.7,0.0,1006.9 Hpa,229º(SW),7,4/8,,SRI LANKA
3977,MAHA ILLUPPALLAMA,08/07/2013,28.7,32.7,24.7,0.0,1007.1 Hpa,218º(SW),9,5/8,,SRI LANKA
3978,PUTTALAM,08/07/2013,28.9,31.3,26.4,0.0,1007.0 Hpa,227º(SW),13,5/8,,SRI LANKA
3979,BATTICALOA,08/07/2013,29.6,34.5,24.8,0.0,1005.8 Hpa,266º(W),3,3/8,,SRI LANKA
3980,KURUNEGALA,08/07/2013,26.9,30.2,23.5,0.3,1007.5 Hpa,225º(SW),7,6/8,,SRI LANKA
3981,KANDY,08/07/2013,24.9,27.1,22.7,7.8,1008.4 Hpa,301º(NW),3,7/8,,SRI LANKA
3982,COLOMBO,08/07/2013,28.3,29.9,26.7,0.6,1008.3 Hpa,239º(SW),6,6/8,,SRI LANKA
3983,RATMALANA,08/07/2013,28.9,30.7,27.1,0.0,1008.6 Hpa,272º(W),15,6/8,,SRI LANKA
3984,NUWARA ELIYA,08/07/2013,15.8,17.3,14.2,10.0,1476 m(850 Hpa),275º(W),17,8/8,,SRI LANKA
3985,POTTUVIL,08/07/2013,31.8,33.4,30.2,-,1005.8 Hpa,70º(E),6,7/8,,SRI LANKA
3986,BANDARAWELA,08/07/2013,21.6,25.0,18.1,0.0,1493 m(850 Hpa),270º(W),15,5/8,,SRI LANKA
3987,BADULLA,08/07/2013,23.0,27.8,18.2,0.0,-,107º(E),3,5/8,,SRI LANKA
3988,RATNAPURA,08/07/2013,26.6,29.1,24.0,8.6,1008.8 Hpa,341º(N),7,7/8,,SRI LANKA
3989,GALLE,08/07/2013,27.4,28.4,26.5,30.4,1008.7 Hpa,288º(W),29,6/8,,SRI LANKA
3990,HAMBANTOTA,08/07/2013,29.4,33.1,25.6,0.5,1006.8 Hpa,260º(W),16,5/8,,SRI LANKA
3991,KANKASANTURAI,09/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3992,JAFFNA,09/07/2013,29.6,31.4,27.9,0.0,1005.7 Hpa,-,-,6/8,,SRI LANKA
3993,MULLAITTIVU,09/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
3994,MANNAR,09/07/2013,28.9,30.9,26.8,0.0,1005.7 Hpa,225º(SW),20,5/8,,SRI LANKA
3995,VAVUNIYA,09/07/2013,28.8,33.0,24.6,0.0,1006.2 Hpa,229º(SW),7,4/8,,SRI LANKA
3996,TRINCOMALEE,09/07/2013,29.4,33.1,25.6,0.0,-,233º(SW),13,6/8,,SRI LANKA
3997,ANURADHAPURA,09/07/2013,29.1,33.2,25.0,0.0,1006.3 Hpa,229º(SW),6,5/8,,SRI LANKA
3998,MAHA ILLUPPALLAMA,09/07/2013,28.1,32.0,24.3,0.0,1006.6 Hpa,241º(SW),11,4/8,,SRI LANKA
3999,PUTTALAM,09/07/2013,28.8,31.1,26.4,0.0,1006.4 Hpa,217º(SW),16,5/8,,SRI LANKA
4000,BATTICALOA,09/07/2013,30.4,34.3,26.4,0.0,1005.3 Hpa,256º(W),2,5/8,,SRI LANKA
4001,KURUNEGALA,09/07/2013,27.1,30.0,24.3,2.9,1007.1 Hpa,225º(SW),7,6/8,,SRI LANKA
4002,KANDY,09/07/2013,24.4,26.2,22.6,4.4,1007.9 Hpa,255º(W),4,7/8,,SRI LANKA
4003,COLOMBO,09/07/2013,27.8,29.5,26.0,3.5,1007.7 Hpa,230º(SW),5,7/8,,SRI LANKA
4004,RATMALANA,09/07/2013,27.6,29.0,26.1,4.4,1007.9 Hpa,267º(W),9,6/8,,SRI LANKA
4005,NUWARA ELIYA,09/07/2013,14.9,16.3,13.5,5.2,1471 m(850 Hpa),270º(W),19,8/8,,SRI LANKA
4006,POTTUVIL,09/07/2013,30.6,35.2,26.0,-,1005.9 Hpa,229º(SW),6,7/8,,SRI LANKA
4007,BANDARAWELA,09/07/2013,21.8,24.5,19.0,Tr,1487 m(850 Hpa),270º(W),12,6/8,,SRI LANKA
4008,BADULLA,09/07/2013,23.2,26.3,20.1,0.0,-,210º(SW),3,7/8,,SRI LANKA
4009,RATNAPURA,09/07/2013,26.1,29.2,23.1,34.4,1008.4 Hpa,334º(NW),8,6/8,,SRI LANKA
4010,GALLE,09/07/2013,25.9,28.2,23.7,0.8,1008.4 Hpa,301º(NW),18,6/8,,SRI LANKA
4011,HAMBANTOTA,09/07/2013,28.9,33.1,24.7,0.0,1006.5 Hpa,260º(W),13,6/8,,SRI LANKA
4012,KANKASANTURAI,10/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4013,JAFFNA,10/07/2013,29.8,31.8,27.7,0.0,1004.8 Hpa,-,-,7/8,,SRI LANKA
4014,MULLAITTIVU,10/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4015,MANNAR,10/07/2013,28.4,30.4,26.5,0.0,1005.1 Hpa,229º(SW),21,6/8,,SRI LANKA
4016,VAVUNIYA,10/07/2013,28.8,32.8,24.7,Tr,1005.7 Hpa,233º(SW),7,5/8,,SRI LANKA
4017,TRINCOMALEE,10/07/2013,28.9,32.4,25.3,Tr,-,233º(SW),14,6/8,,SRI LANKA
4018,ANURADHAPURA,10/07/2013,28.9,33.1,24.8,0.0,1005.9 Hpa,231º(SW),5,7/8,,SRI LANKA
4019,MAHA ILLUPPALLAMA,10/07/2013,27.6,30.8,24.4,0.0,1005.9 Hpa,233º(SW),9,6/8,,SRI LANKA
4020,PUTTALAM,10/07/2013,28.3,30.4,26.2,0.0,1005.8 Hpa,215º(SW),15,6/8,,SRI LANKA
4021,BATTICALOA,10/07/2013,30.5,35.0,26.0,Tr,1004.8 Hpa,301º(NW),2,6/8,,SRI LANKA
4022,KURUNEGALA,10/07/2013,26.9,29.6,24.3,0.3,1006.4 Hpa,231º(SW),6,7/8,,SRI LANKA
4023,KANDY,10/07/2013,23.9,25.4,22.4,23.4,1007.2 Hpa,301º(NW),2,7/8,,SRI LANKA
4024,COLOMBO,10/07/2013,27.8,29.6,25.9,2.3,1007.2 Hpa,255º(W),6,6/8,,SRI LANKA
4025,RATMALANA,10/07/2013,28.2,29.9,26.6,1.7,1007.3 Hpa,277º(W),15,6/8,,SRI LANKA
4026,NUWARA ELIYA,10/07/2013,16.9,20.3,13.4,27.8,1469 m(850 Hpa),262º(W),14,8/8,,SRI LANKA
4027,POTTUVIL,10/07/2013,29.1,33.3,24.8,20.9,1005.6 Hpa,230º(SW),2,5/8,,SRI LANKA
4028,BANDARAWELA,10/07/2013,21.1,24.4,17.9,4.0,1514 m(850 Hpa),282º(W),16,7/8,,SRI LANKA
4029,BADULLA,10/07/2013,22.4,25.8,19.1,6.6,-,303º(NW),2,7/8,,SRI LANKA
4030,RATNAPURA,10/07/2013,26.1,29.0,23.2,33.1,1007.9 Hpa,331º(NW),9,6/8,,SRI LANKA
4031,GALLE,10/07/2013,26.2,27.8,24.7,1.1,1007.7 Hpa,298º(NW),19,6/8,,SRI LANKA
4032,HAMBANTOTA,10/07/2013,28.9,32.3,25.6,0.0,1005.9 Hpa,261º(W),11,7/8,,SRI LANKA
4033,KANKASANTURAI,11/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4034,JAFFNA,11/07/2013,29.0,30.5,27.5,0.0,1005.5 Hpa,-,-,8/8,,SRI LANKA
4035,MULLAITTIVU,11/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4036,MANNAR,11/07/2013,28.2,29.9,26.5,0.0,1005.9 Hpa,227º(SW),16,7/8,,SRI LANKA
4037,VAVUNIYA,11/07/2013,27.4,30.9,24.0,0.0,1006.3 Hpa,229º(SW),6,7/8,,SRI LANKA
4038,TRINCOMALEE,11/07/2013,28.9,32.5,25.2,0.0,-,228º(SW),11,6/8,,SRI LANKA
4039,ANURADHAPURA,11/07/2013,28.0,32.0,24.0,0.0,1006.7 Hpa,229º(SW),6,7/8,,SRI LANKA
4040,MAHA ILLUPPALLAMA,11/07/2013,27.7,31.1,24.3,0.0,1006.5 Hpa,220º(SW),11,6/8,,SRI LANKA
4041,PUTTALAM,11/07/2013,28.7,31.2,26.2,0.0,1006.4 Hpa,214º(SW),10,6/8,,SRI LANKA
4042,BATTICALOA,11/07/2013,29.9,34.0,25.9,0.0,1005.8 Hpa,105º(E),1,4/8,,SRI LANKA
4043,KURUNEGALA,11/07/2013,28.1,32.5,23.7,Tr,1006.7 Hpa,220º(SW),7,5/8,,SRI LANKA
4044,KANDY,11/07/2013,23.9,26.7,21.1,0.4,1008.0 Hpa,256º(W),2,6/8,,SRI LANKA
4045,COLOMBO,11/07/2013,28.0,30.1,25.9,0.0,1008.0 Hpa,249º(W),7,5/8,,SRI LANKA
4046,RATMALANA,11/07/2013,28.4,31.3,25.4,0.0,1008.2 Hpa,260º(W),10,6/8,,SRI LANKA
4047,NUWARA ELIYA,11/07/2013,15.6,17.6,13.5,0.1,1473 m(850 Hpa),270º(W),15,8/8,,SRI LANKA
4048,POTTUVIL,11/07/2013,28.1,32.3,23.8,0.0,1006.4 Hpa,203º(SW),2,7/8,,SRI LANKA
4049,BANDARAWELA,11/07/2013,21.5,25.2,17.8,0.0,1490 m(850 Hpa),258º(W),20,6/8,,SRI LANKA
4050,BADULLA,11/07/2013,23.5,28.3,18.7,0.0,-,310º(NW),2,7/8,,SRI LANKA
4051,RATNAPURA,11/07/2013,26.9,30.2,23.6,0.1,1008.4 Hpa,341º(N),7,6/8,,SRI LANKA
4052,GALLE,11/07/2013,26.4,28.4,24.5,0.5,1008.2 Hpa,291º(W),19,5/8,,SRI LANKA
4053,HAMBANTOTA,11/07/2013,29.4,33.6,25.2,0.0,1006.8 Hpa,254º(W),15,5/8,,SRI LANKA
4054,KANKASANTURAI,12/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4055,JAFFNA,12/07/2013,29.6,31.9,27.3,0.0,1006.2 Hpa,-,-,7/8,,SRI LANKA
4056,MULLAITTIVU,12/07/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
4057,MANNAR,12/07/2013,28.6,30.6,26.6,0.0,1006.7 Hpa,226º(SW),14,5/8,,SRI LANKA
4058,VAVUNIYA,12/07/2013,29.2,34.8,23.6,0.0,1006.4 Hpa,237º(SW),7,3/8,,SRI LANKA
4059,TRINCOMALEE,12/07/2013,29.6,34.7,24.5,0.0,-,227º(SW),12,5/8,,SRI LANKA
4060,ANURADHAPURA,12/07/2013,28.9,34.1,23.7,0.0,1007.5 Hpa,229º(SW),6,3/8,,SRI LANKA
4061,MAHA ILLUPPALLAMA,12/07/2013,28.4,32.7,24.1,0.0,1007.3 Hpa,229º(SW),11,3/8,,SRI LANKA
4062,PUTTALAM,12/07/2013,28.6,31.4,25.7,0.0,1007.3 Hpa,203º(SW),12,4/8,,SRI LANKA
