LOCATION_ID,LATITUDE,LONGITUDE
8929,6.1942055424,80.955568128
8940,6.1942055424,81.05438236
8954,6.1942055424,81.180145928
9140,6.2031886544,80.596243648
9333,6.2121717664,80.075223152
9468,6.2121717664,81.287943272
9473,6.2121717664,81.332858832
9589,6.2211548784,80.120138712
9601,6.2211548784,80.227936056
9607,6.2211548784,80.281834728
9658,6.2211548784,80.73997344
9724,6.2211548784,81.332858832
9833,6.2301379904,80.057256928
10084,6.2391211024,80.057256928
10089,6.2391211024,80.102172488
10096,6.2391211024,80.165054272
10144,6.2391211024,80.596243648
10170,6.2391211024,80.82980456
10181,6.2391211024,80.928618792
10189,6.2391211024,81.000483688
10201,6.2391211024,81.108281032
10334,6.2481042144,80.048273816
10335,6.2481042144,80.057256928
10383,6.2481042144,80.488446304
10414,6.2481042144,80.766922776
10444,6.2481042144,81.036416136
10458,6.2481042144,81.162179704
10477,6.2481042144,81.332858832
10586,6.2570873264,80.057256928
10601,6.2570873264,80.192003608
10609,6.2570873264,80.263868504
10616,6.2570873264,80.326750288
10633,6.2570873264,80.479463192
10655,6.2570873264,80.677091656
10665,6.2570873264,80.766922776
10681,6.2570873264,80.910652568
10717,6.2570873264,81.2340446
10835,6.2660704384,80.039290704
10837,6.2660704384,80.057256928
10847,6.2660704384,80.147088048
10903,6.2660704384,80.65014232
10911,6.2660704384,80.722007216
10918,6.2660704384,80.784889
10973,6.2660704384,81.27896016
11087,6.2750535504,80.048273816
11092,6.2750535504,80.093189376
11128,6.2750535504,80.416581408
11222,6.2750535504,81.260993936
11223,6.2750535504,81.269977048
11225,6.2750535504,81.287943272
11238,6.2750535504,81.404723728
11361,6.2840366624,80.254885392
11393,6.2840366624,80.542344976
11424,6.2840366624,80.820821448
11601,6.2930197744,80.15607116
11682,6.2930197744,80.883703232
11704,6.2930197744,81.081331696
11858,6.3020028864,80.209969832
11884,6.3020028864,80.443530744
11901,6.3020028864,80.596243648
11946,6.3020028864,81.000483688
11960,6.3020028864,81.126247256
11972,6.3020028864,81.2340446
12089,6.3109859984,80.030307592
12090,6.3109859984,80.039290704
12096,6.3109859984,80.093189376
12120,6.3109859984,80.308784064
12157,6.3109859984,80.641159208
12230,6.3109859984,81.296926384
12383,6.3199691104,80.416581408
12431,6.3199691104,80.847770784
12601,6.3289522224,80.120138712
12625,6.3289522224,80.3357334
12632,6.3289522224,80.398615184
12842,6.3379353344,80.030307592
12875,6.3379353344,80.326750288
12901,6.3379353344,80.5603112
12913,6.3379353344,80.668108544
12933,6.3379353344,80.847770784
12934,6.3379353344,80.856753896
12985,6.3379353344,81.314892608
13099,6.3469184464,80.084206264
13114,6.3469184464,80.218952944
13150,6.3469184464,80.542344976
13175,6.3469184464,80.766922776
13183,6.3469184464,80.838787672
13222,6.3469184464,81.18912904
13358,6.3559015584,80.15607116
13444,6.3559015584,80.928618792
13455,6.3559015584,81.027433024
13456,6.3559015584,81.036416136
13670,6.3648846704,80.704040992
13694,6.3648846704,80.91963568
13845,6.3738677824,80.02132448
13849,6.3738677824,80.057256928
14011,6.3738677824,81.512521072
14095,6.3828508944,80.012341368
14133,6.3828508944,80.353699624
14161,6.3828508944,80.60522676
14167,6.3828508944,80.659125432
14184,6.3828508944,80.811838336
14241,6.3828508944,81.32387572
14255,6.3828508944,81.449639288
14349,6.3918340064,80.039290704
14350,6.3918340064,80.048273816
14375,6.3918340064,80.272851616
14452,6.3918340064,80.96455124
14475,6.3918340064,81.171162816
14620,6.4008171184,80.218952944
14673,6.4008171184,80.69505788
14745,6.4008171184,81.341841944
