,cell,resident,work,LATITUDE,LONGITUDE,Date
143,8170,1728.0,573,6.1672562064,80.90166945600001,2013-01-01
144,8182,2113.0,240,6.1672562064,81.0094668,2013-01-01
145,8195,577.0,392,6.1672562064,81.126247256,2013-01-01
146,8342,7000.0,1631,6.1762393184,80.19200360800001,2013-01-01
147,8582,6354.0,745,6.1852224304,80.093189376,2013-01-01
148,8602,4207.0,643,6.1852224304,80.272851616,2013-01-01
149,8609,6932.0,900,6.1852224304,80.33573340000001,2013-01-01
150,8638,5135.0,829,6.1852224304,80.596243648,2013-01-01
151,8656,1351.0,196,6.1852224304,80.75793966399999,2013-01-01
152,8830,742.0,95,6.1942055424,80.06624004,2013-01-01
153,8839,4683.0,599,6.1942055424,80.147088048,2013-01-01
154,8876,3805.0,989,6.1942055424,80.479463192,2013-01-01
155,8897,2679.0,407,6.1942055424,80.66810854399999,2013-01-01
156,8912,3640.0,373,6.1942055424,80.802855224,2013-01-01
157,8918,1195.0,150,6.1942055424,80.856753896,2013-01-01
158,8929,856.0,205,6.1942055424,80.955568128,2013-01-01
159,8940,1089.0,250,6.1942055424,81.05438236,2013-01-01
160,8954,858.0,112,6.1942055424,81.180145928,2013-01-01
161,9140,795.0,176,6.203188654400001,80.596243648,2013-01-01
162,9333,3918.0,391,6.2121717664,80.07522315199999,2013-01-01
163,9468,1650.0,156,6.2121717664,81.28794327199999,2013-01-01
164,9473,111.0,17,6.2121717664,81.332858832,2013-01-01
165,9589,7592.0,1109,6.2211548784,80.120138712,2013-01-01
166,9601,3538.0,379,6.2211548784,80.227936056,2013-01-01
167,9607,1427.0,305,6.2211548784,80.281834728,2013-01-01
168,9658,1265.0,203,6.2211548784,80.73997344,2013-01-01
169,9724,834.0,115,6.2211548784,81.332858832,2013-01-01
170,9833,444.0,267,6.230137990399999,80.057256928,2013-01-01
171,10084,3531.0,2725,6.2391211024,80.057256928,2013-01-01
172,10089,3907.0,455,6.2391211024,80.10217248800001,2013-01-01
173,10096,2057.0,330,6.2391211024,80.16505427199999,2013-01-01
174,10144,7328.0,763,6.2391211024,80.596243648,2013-01-01
175,10170,1512.0,335,6.2391211024,80.82980456,2013-01-01
176,10181,827.0,142,6.2391211024,80.928618792,2013-01-01
177,10189,108.0,42,6.2391211024,81.000483688,2013-01-01
178,10201,799.0,149,6.2391211024,81.108281032,2013-01-01
179,10334,2328.0,691,6.2481042144000005,80.048273816,2013-01-01
180,10335,3636.0,719,6.2481042144000005,80.057256928,2013-01-01
181,10383,3732.0,876,6.2481042144000005,80.48844630399999,2013-01-01
182,10414,166.0,65,6.2481042144000005,80.766922776,2013-01-01
183,10444,1007.0,211,6.2481042144000005,81.036416136,2013-01-01
184,10458,1630.0,147,6.2481042144000005,81.162179704,2013-01-01
185,10477,890.0,112,6.2481042144000005,81.332858832,2013-01-01
186,10586,6526.0,785,6.2570873264,80.057256928,2013-01-01
187,10601,1221.0,162,6.2570873264,80.19200360800001,2013-01-01
188,10609,2535.0,696,6.2570873264,80.263868504,2013-01-01
189,10616,1628.0,160,6.2570873264,80.326750288,2013-01-01
190,10633,594.0,164,6.2570873264,80.479463192,2013-01-01
191,10655,3472.0,657,6.2570873264,80.677091656,2013-01-01
192,10665,1799.0,552,6.2570873264,80.766922776,2013-01-01
193,10681,3805.0,511,6.2570873264,80.910652568,2013-01-01
194,10717,1170.0,369,6.2570873264,81.2340446,2013-01-01
195,10835,1481.0,409,6.266070438400001,80.039290704,2013-01-01
196,10837,704.0,123,6.266070438400001,80.057256928,2013-01-01
197,10847,5149.0,758,6.266070438400001,80.147088048,2013-01-01
